aut_principal,pseudo,viaf,titulo,Lengua fuente,Lengua,ISBN,Ciudad de publicación,Ente editor,Año de publicación,Traductor/a,Observaciones
No hay datos,No hay datos,http://viaf.org/viaf/17286022,La canción de Rolando / estudio y análisis por Edmundo Faral,fre,Francés,No hay datos,Montevideo,No hay datos,1934,No hay datos,"Es manual de estudio./ Sin fecha ni ente editor./ Se añadió datación estimada: 1934. El año estimado refiere a la fecha de publicación posible más temprana, ya que 1934 es la fecha de publicación del texto fuente. "
"Dostoevskii, Feder","Dostoyevsky, Fyodor",http://viaf.org/viaf/104023256,En la aldea de Stopantichikovo : comedia en 3 actos basada en la novela de Feodor M. Dostoyevsky / adaptación teatral de Washington Lockart,rus,Ruso,No hay datos,No hay datos,No hay datos,1952,No hay datos,"Sin fecha ni ente editor./ Se añadió datación estimada: 1952. El año estimado refiere a la fecha de publicación posible más temprana, ya que esta obra de teatro fue estrenada en el Glücksman Palace, Mercedes, el 27 de junio de 1952. (Fuente: Anáforas).
"
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,Hambre : novela / traducción de Alberto de Flos,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,"De Flos, Alberto","Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que en la portada de la obra se señala el Premio Nobel del autor, 1920. "
"Hamsun, Knut",No hay datos,http://viaf.org/viaf/59083692,La reina de Saba,nor,Noruego,No hay datos,Montevideo,Editorial Artigas,1920,No hay datos,"Se añadió datación estimada: 1920. El año estimado refiere a la fecha de publicación posible más temprana, ya que esta editorial al parecer publica varias obras de Hamsun comenzando en ese año. (Fuente: Martínez Børresen, Z. (2012). Knut Hamsun en Hispanoamérica: hacia una revaloración Literatura  mexicana, 23 (2)."
"Ibsen, Henrik",No hay datos,http://viaf.org/viaf/71378383,Brand (Fuego),nor,Noruego,No hay datos,Montevideo,La Casa del Estudiante,1950,No hay datos,"Es manual de estudio./ Se añadió datación estimada: 1950. El año estimado refiere a la fecha de publicación posible más temprana, ya que 1950 es la fecha en la que aparece en este relevamiento un primer texto en traducción publicado por esta editorial, Casa del Estudiante "
"Jouhanneaud, Pablo",No hay datos,http://viaf.org/viaf/244870177,Angela y su hijo ó El poder de la cruz / por el abate Pablo Jouhanneaud canónigo,fre,Francés,No hay datos,Montevideo,Imprenta Liberal,1871,No hay datos,No hay datos
"Bresciani, Antonio",No hay datos,http://viaf.org/viaf/9837565,"El hebreo de Verona : novela histórica que comprende la revolución de Italia desde 1846 hasta 1849, en que se descubren los misterios de las sociedades secretas, su organización y su influencia en los sacudimientos y revoluciones de las naciones de Europa / escrita en italiano por el P. Antonio Bresciani : traducida y continuada por D. Pedro Reinés y Solá",ita,Italiano,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1872,"Reinés y Solá, D. Pedro",Se añadió dato traductor. Fuente: BN campo Título. 
"Bray, Mrs. Mary (Matthews)","Bray, Mary Matthews",http://viaf.org/viaf/8641164479573526210009,La estrella del mar / traducida.por las señoritas J. y P.,eng,Inglés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,Señoritas J. y P,"Publicada por entregas en El Mensajero del Pueblo a partir del núm. 215, 17.7.1873. Fuente: Anáforas./ Se añadió dato traductor. Fuente: BN campo Título.
"
"Schmid, Christoph von",No hay datos,http://viaf.org/viaf/7524803,El rosal / por Cristóbal Schmid : traducido del francés por Joaquín Marti,ger,Alemán,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,"Martí, Joaquín",Se rectificó lengua fuente de francés a alemán. Es una traducción indirecta a través del francés./ Se añadió dato traductor. Fuente: BN campo Título.
"Wiseman, Nicholas Patrick-Stephen",No hay datos,http://viaf.org/viaf/71399207,La lámpara del santuario / por el Cardenal Wiseman : traducido para la Estrella de Chile por Máximo R. Lira,eng,Inglés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1873,"Lira, Máximo R.",Se añadió dato traductor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,La granja de los cedros...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
"Lemercier, Adrien",No hay datos,http://viaf.org/viaf/44112760,Iona... / traducida de la décima ed. francesa por J.R.,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1874,J.R.,Se añadió dato traductor. Fuente: BN campo Título.
"Marquigny, Eugenio",No hay datos,http://viaf.org/viaf/28145911001127061348,La Condesa de Adelstan...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1874,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/27102015,La granja de los cedros...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,Publicado como folletín en El Mensajero del Pueblo. Fuente: Anáforas. 
"Dupanloup, Félix Antoine Philibert, Obispo de Orleans",No hay datos,http://viaf.org/viaf/27102015,Mujeres sabias y mujeres estudiosas / por Monseñor Dupanloup ; tr. del francés para El Mensajero del Pueblo.,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
"Barrili, Anton Giulio",No hay datos,http://viaf.org/viaf/46754144,La hiedra y el olmo : traducción del francés para El mensajero del pueblo,ita ,Italiano ,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,Se rectificó lengua fuente de francés a italiano. Es una traducción indirecta a través del francés.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,"Valeria o los primeros cristianos: novela histórica / por Matilde Fromont; tr. Del frances para El Mensajero del Pueblo,fre, 1875, Montevideo : Tip. de El Mensajero, 1875",fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,No hay datos,No hay datos
No hay datos,No hay datos,No hay datos,La herencia de Francisca / traducida para El Mensajero del Pueblo por S. y D.,No hay datos,No hay datos,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1875,S y D,Se añadió dato traductor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,Las apariencias y la realidad.folletín...,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,La mujer de un oficial / por Madama Matilde Bourdon; tr. expresamente por el Mensajero del Pueblo,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,No hay datos,Se añadió ente editor. Fuente: BN campo Título.
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,"Las tres hermanas, escenas de familia... / traducido por la señorita. A. V.",fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1876,Señorita. A. V.,Se añadió dato traductor. Fuente: BN campo Título.
"Ghislanzoni, Antonio",No hay datos,http://viaf.org/viaf/68948123,Salvador Rosa : drama lírico en 4 actos,ita,Italiano,No hay datos,Montevideo,La Idea,1876,No hay datos,No hay datos
"Bourdon, Mme. Mathilde (Lippens)","Bourdon, Mathilde",http://viaf.org/viaf/24633634,Dionisia,fre,Francés,No hay datos,Montevideo,Imprenta de El Mensajero del Pueblo,1877,No hay datos,No hay datos
Paulina de la Ferronays,No hay datos,http://viaf.org/viaf/41831266,Relato de una hermana: recuerdos de familia / recolectados por Mme. Augustus Craven (Paulina de la Ferronays),fre,Francés,No hay datos,Montevideo,Tipografía de El Bien Público,1880,No hay datos,Se añadió dato autor. Fuente: BN campo Título.
"Shakespeare, William",No hay datos,http://viaf.org/viaf/96994048,Ofelia : escenas líricas extractadas del Hamlet de Shakespeare / música de Carmelo Calvo,eng,Inglés,No hay datos,Montevideo,Tipografía de El Bien Público,1880,No hay datos,No hay datos
"Montépin, Xavier de",No hay datos,http://viaf.org/viaf/87953024,El coche número trece,fre,Francés,No hay datos,Montevideo,Imprenta a vapor de La Colonia española,1881,No hay datos,No hay datos
"Sandeau, Léonard Sylvain Julien (Jules)",No hay datos,http://viaf.org/viaf/56616138,Valentía,fre,Francés,No hay datos,Montevideo,Tipografía de El Bien Público,1882,No hay datos,No hay datos
"Conscience, Hendrik",No hay datos,http://viaf.org/viaf/46807576,El hidalgo pobre. traducido por J. F. Saenz de Urraca,dut,Neerlandés,No hay datos,Montevideo,Imprenta a vapor de La España,1886,"Sáenz de Urraca, J. F.",Se rectificó lengua fuente de francés a neerlandés. Sería una traducción indirecta a través del francés./ Se añadió dato traductor. Fuente: BN campo Título.
